MsgID.LOCAL_POSITION,63.0760000,48.3054504,6.2955341,-4.9585738
MsgID.LOCAL_VELOCITY,63.0760000,4.0149345,-4.4684038,0.0486188
MsgID.GLOBAL_POSITION,0.0000000,-122.3973981,37.7929239,4.9500000
MsgID.LOCAL_VELOCITY,0.0000000,4.8200000,-5.0200000,-0.0700000
MsgID.LOCAL_POSITION,63.3260000,49.2773933,4.9052134,-4.9502378
MsgID.LOCAL_VELOCITY,63.3260000,4.8295145,-5.0235620,-0.0734091
MsgID.GLOBAL_POSITION,0.0000000,-122.3974114,37.7929354,4.9510000
MsgID.LOCAL_VELOCITY,0.0000000,5.5900000,-5.5200000,-0.1600000
MsgID.LOCAL_POSITION,63.5760000,50.5543327,3.7197340,-4.9512515
MsgID.LOCAL_VELOCITY,63.5760000,5.5984755,-5.5242763,-0.1658515
MsgID.GLOBAL_POSITION,0.0000000,-122.3974288,37.7929499,4.9520000
MsgID.LOCAL_VELOCITY,0.0000000,6.1500000,-5.8600000,-0.1900000
MsgID.LOCAL_POSITION,63.8260000,52.1613808,2.1709950,-4.9521699
MsgID.LOCAL_VELOCITY,63.8260000,6.1579247,-5.8630080,-0.1945431
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974460,37.7929647,4.9400000
MsgID.LOCAL_VELOCITY,0.0000000,6.3500000,-5.9800000,-0.2000000
MsgID.LOCAL_POSITION,64.0760000,53.8052597,0.6475025,-4.9404907
MsgID.LOCAL_VELOCITY,64.0760000,6.3568153,-5.9823952,-0.2080984
MsgID.GLOBAL_POSITION,0.0000000,-122.3974613,37.7929785,4.9520000
MsgID.LOCAL_VELOCITY,0.0000000,6.4400000,-6.0300000,-0.2900000
MsgID.LOCAL_POSITION,64.3260000,55.3425255,-0.7156950,-4.9527173
MsgID.LOCAL_VELOCITY,64.3260000,6.4478054,-6.0356665,-0.2988441
MsgID.GLOBAL_POSITION,0.0000000,-122.3974781,37.7929930,4.9700000
MsgID.LOCAL_VELOCITY,0.0000000,6.4500000,-6.0200000,-0.1300000
MsgID.LOCAL_POSITION,64.5760000,56.9507523,-2.2122438,-4.9705210
MsgID.LOCAL_VELOCITY,64.5760000,6.4540110,-6.0239515,-0.1301961
MsgID.GLOBAL_POSITION,0.0000000,-122.3974951,37.7930075,4.9700000
MsgID.LOCAL_VELOCITY,0.0000000,6.4700000,-6.0200000,-0.0600000
MsgID.LOCAL_POSITION,64.8260000,58.5659599,-3.7187777,-4.9700141
MsgID.LOCAL_VELOCITY,64.8260000,6.4704914,-6.0293322,-0.0652634
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3975121,37.7930221,4.9810000
MsgID.LOCAL_VELOCITY,0.0000000,6.4800000,-6.0300000,-0.0100000
MsgID.LOCAL_POSITION,65.0760000,60.1856842,-5.2275639,-4.9818735
MsgID.LOCAL_VELOCITY,65.0760000,6.4801121,-6.0380635,-0.0117344
MsgID.GLOBAL_POSITION,0.0000000,-122.3975290,37.7930367,4.9920000
MsgID.LOCAL_VELOCITY,0.0000000,6.4600000,-6.0200000,0.1100000
MsgID.LOCAL_POSITION,65.3260000,61.8129311,-6.7364922,-4.9920835
MsgID.LOCAL_VELOCITY,65.3260000,6.4645162,-6.0283208,0.1170851
MsgID.GLOBAL_POSITION,0.0000000,-122.3975460,37.7930514,4.9900000
MsgID.LOCAL_VELOCITY,0.0000000,6.4700000,-6.0300000,0.1400000
MsgID.LOCAL_POSITION,65.5770000,63.4440765,-8.2413006,-4.9905982
MsgID.LOCAL_VELOCITY,65.5770000,6.4725170,-6.0388632,0.1478243
MsgID.GLOBAL_POSITION,0.0000000,-122.3975633,37.7930646,4.9950000
MsgID.LOCAL_VELOCITY,0.0000000,6.4800000,-6.0400000,0.1600000
MsgID.LOCAL_POSITION,65.8270000,64.9119568,-9.7826395,-4.9951591
MsgID.LOCAL_VELOCITY,65.8270000,6.4829750,-6.0435176,0.1693042
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3975795,37.7930795,4.9960000
MsgID.LOCAL_VELOCITY,0.0000000,6.5000000,-6.0100000,0.2300000
MsgID.LOCAL_POSITION,66.0760000,66.5660400,-11.2239056,-4.9961486
MsgID.LOCAL_VELOCITY,66.0760000,6.5045929,-6.0114627,0.2315263
MsgID.GLOBAL_POSITION,0.0000000,-122.3975951,37.7930952,4.9970000
MsgID.LOCAL_VELOCITY,0.0000000,6.5200000,-6.0300000,0.1400000
MsgID.LOCAL_POSITION,66.3270000,68.3070450,-12.6125221,-4.9970021
MsgID.LOCAL_VELOCITY,66.3270000,6.5294256,-6.0303068,0.1498945
MsgID.GLOBAL_POSITION,0.0000000,-122.3976128,37.7931101,4.9870000
MsgID.LOCAL_VELOCITY,0.0000000,6.4600000,-6.0800000,0.1600000
MsgID.LOCAL_POSITION,66.5760000,69.9649124,-14.1819363,-4.9874959
MsgID.LOCAL_VELOCITY,66.5760000,6.4672322,-6.0838494,0.1612809
MsgID.GLOBAL_POSITION,0.0000000,-122.3976302,37.7931242,4.9770000
MsgID.LOCAL_VELOCITY,0.0000000,6.4300000,-6.1200000,0.1200000
MsgID.LOCAL_POSITION,66.8280000,71.5363770,-15.7296925,-4.9779167
MsgID.LOCAL_VELOCITY,66.8280000,6.4350471,-6.1243868,0.1247699
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,67.0780000,73.1096725,-17.1611061,-4.9673991
MsgID.LOCAL_VELOCITY,67.0780000,6.2200069,-5.8261151,-0.0190019
